SadOrHopeless,sad_binary,HowMuchDoYouWeighWithoutShoesInKG,CurrentCigaretteUse,smoker_binary,smoking_freq_group,smoking_freq_score,HowOldAreYou,age_label,age_group
2.0,0.0,60.78,1.0,0.0,,,7.0,18+,18+
2.0,0.0,63.5,1.0,0.0,,,6.0,17,17
2.0,0.0,48.99,,,,,7.0,18+,18+
1.0,1.0,85.73,3.0,1.0,Light (1~5 days),3.0,7.0,18+,18+
1.0,1.0,74.84,1.0,0.0,,,7.0,18+,18+
2.0,0.0,56.7,1.0,0.0,,,7.0,18+,18+
1.0,1.0,63.5,1.0,0.0,,,6.0,17,17
2.0,0.0,70.31,1.0,0.0,,,7.0,18+,18+
1.0,1.0,81.65,1.0,0.0,,,6.0,17,17
2.0,0.0,63.5,1.0,0.0,,,7.0,18+,18+
2.0,0.0,68.04,1.0,0.0,,,7.0,18+,18+
2.0,0.0,63.96,1.0,0.0,,,7.0,18+,18+
2.0,0.0,104.33,1.0,0.0,,,6.0,17,17
1.0,1.0,60.33,1.0,0.0,,,6.0,17,17
2.0,0.0,61.24,1.0,0.0,,,6.0,17,17
2.0,0.0,70.31,1.0,0.0,,,6.0,17,17
1.0,1.0,56.7,1.0,0.0,,,5.0,16,16
2.0,0.0,61.24,1.0,0.0,,,4.0,15,15
2.0,0.0,,1.0,0.0,,,5.0,16,16
1.0,1.0,58.97,1.0,0.0,,,5.0,16,16
2.0,0.0,79.83,1.0,0.0,,,6.0,17,17
2.0,0.0,54.43,1.0,0.0,,,6.0,17,17
1.0,1.0,110.22,1.0,0.0,,,5.0,16,16
2.0,0.0,59.88,1.0,0.0,,,5.0,16,16
2.0,0.0,68.04,1.0,0.0,,,6.0,17,17
2.0,0.0,72.58,1.0,0.0,,,5.0,16,16
2.0,0.0,55.34,1.0,0.0,,,5.0,16,16
2.0,0.0,61.24,1.0,0.0,,,6.0,17,17
1.0,1.0,88.45,1.0,0.0,,,5.0,16,16
2.0,0.0,77.57,1.0,0.0,,,4.0,15,15
1.0,1.0,49.44,1.0,0.0,,,4.0,15,15
2.0,0.0,58.97,1.0,0.0,,,4.0,15,15
2.0,0.0,68.04,1.0,0.0,,,5.0,16,16
2.0,0.0,53.98,1.0,0.0,,,4.0,15,15
2.0,0.0,71.67,1.0,0.0,,,5.0,16,16
1.0,1.0,103.42,1.0,0.0,,,4.0,15,15
1.0,1.0,64.41,1.0,0.0,,,5.0,16,16
1.0,1.0,52.62,1.0,0.0,,,5.0,16,16
2.0,0.0,56.7,1.0,0.0,,,4.0,15,15
2.0,0.0,52.16,1.0,0.0,,,3.0,14,<=14
2.0,0.0,52.16,1.0,0.0,,,4.0,15,15
2.0,0.0,55.79,1.0,0.0,,,3.0,14,<=14
2.0,0.0,119.75,1.0,0.0,,,4.0,15,15
2.0,0.0,61.24,1.0,0.0,,,2.0,13,<=14
1.0,1.0,56.7,1.0,0.0,,,3.0,14,<=14
1.0,1.0,53.98,,,,,4.0,15,15
2.0,0.0,72.58,1.0,0.0,,,4.0,15,15
1.0,1.0,46.72,1.0,0.0,,,4.0,15,15
1.0,1.0,72.58,1.0,0.0,,,4.0,15,15
1.0,1.0,50.35,1.0,0.0,,,3.0,14,<=14
2.0,0.0,77.11,1.0,0.0,,,4.0,15,15
2.0,0.0,59.88,3.0,1.0,Light (1~5 days),3.0,4.0,15,15
2.0,0.0,51.71,,,,,3.0,14,<=14
2.0,0.0,62.6,7.0,1.0,Frequent (20~30 days),7.0,4.0,15,15
1.0,1.0,82.56,1.0,0.0,,,4.0,15,15
1.0,1.0,53.98,1.0,0.0,,,4.0,15,15
1.0,1.0,61.24,1.0,0.0,,,4.0,15,15
2.0,0.0,72.12,1.0,0.0,,,4.0,15,15
1.0,1.0,81.65,1.0,0.0,,,5.0,16,16
2.0,0.0,53.98,1.0,0.0,,,4.0,15,15
2.0,0.0,78.02,1.0,0.0,,,7.0,18+,18+
1.0,1.0,83.92,1.0,0.0,,,7.0,18+,18+
1.0,1.0,81.65,1.0,0.0,,,7.0,18+,18+
2.0,0.0,86.18,1.0,0.0,,,7.0,18+,18+
1.0,1.0,45.81,,,,,3.0,14,<=14
1.0,1.0,83.92,1.0,0.0,,,6.0,17,17
2.0,0.0,68.04,1.0,0.0,,,7.0,18+,18+
2.0,0.0,67.13,1.0,0.0,,,7.0,18+,18+
2.0,0.0,127.01,1.0,0.0,,,7.0,18+,18+
2.0,0.0,68.04,1.0,0.0,,,7.0,18+,18+
2.0,0.0,74.84,1.0,0.0,,,7.0,18+,18+
2.0,0.0,60.33,1.0,0.0,,,5.0,16,16
2.0,0.0,77.11,1.0,0.0,,,6.0,17,17
2.0,0.0,97.52,2.0,1.0,Light (1~5 days),2.0,6.0,17,17
1.0,1.0,72.58,,,,,6.0,17,17
1.0,1.0,58.97,7.0,1.0,Frequent (20~30 days),7.0,5.0,16,16
1.0,1.0,81.65,,,,,6.0,17,17
2.0,0.0,71.22,1.0,0.0,,,5.0,16,16
2.0,0.0,81.65,1.0,0.0,,,6.0,17,17
2.0,0.0,76.66,1.0,0.0,,,6.0,17,17
2.0,0.0,58.06,1.0,0.0,,,6.0,17,17
2.0,0.0,53.52,1.0,0.0,,,6.0,17,17
1.0,1.0,48.99,1.0,0.0,,,7.0,18+,18+
2.0,0.0,122.47,1.0,0.0,,,6.0,17,17
2.0,0.0,89.81,1.0,0.0,,,7.0,18+,18+
2.0,0.0,52.16,7.0,1.0,Frequent (20~30 days),7.0,6.0,17,17
1.0,1.0,68.04,1.0,0.0,,,7.0,18+,18+
1.0,1.0,49.9,1.0,0.0,,,7.0,18+,18+
2.0,0.0,68.95,,,,,1.0,<=12,<=14
1.0,1.0,64.41,1.0,0.0,,,7.0,18+,18+
2.0,0.0,79.38,,,,,5.0,16,16
2.0,0.0,52.62,7.0,1.0,Frequent (20~30 days),7.0,6.0,17,17
1.0,1.0,49.9,1.0,0.0,,,6.0,17,17
2.0,0.0,66.68,1.0,0.0,,,4.0,15,15
2.0,0.0,109.32,,,,,5.0,16,16
2.0,0.0,,1.0,0.0,,,4.0,15,15
1.0,1.0,99.79,5.0,1.0,Moderate (6~19 days),5.0,5.0,16,16
1.0,1.0,66.23,1.0,0.0,,,4.0,15,15
2.0,0.0,70.76,1.0,0.0,,,4.0,15,15
1.0,1.0,77.11,1.0,0.0,,,5.0,16,16
1.0,1.0,54.89,1.0,0.0,,,4.0,15,15
1.0,1.0,58.97,1.0,0.0,,,5.0,16,16
2.0,0.0,70.76,2.0,1.0,Light (1~5 days),2.0,5.0,16,16
2.0,0.0,70.31,1.0,0.0,,,5.0,16,16
2.0,0.0,49.9,1.0,0.0,,,6.0,17,17
2.0,0.0,,7.0,1.0,Frequent (20~30 days),7.0,6.0,17,17
2.0,0.0,49.9,1.0,0.0,,,6.0,17,17
2.0,0.0,82.56,1.0,0.0,,,6.0,17,17
2.0,0.0,72.58,1.0,0.0,,,6.0,17,17
1.0,1.0,88.91,1.0,0.0,,,6.0,17,17
2.0,0.0,,5.0,1.0,Moderate (6~19 days),5.0,6.0,17,17
1.0,1.0,94.35,1.0,0.0,,,6.0,17,17
2.0,0.0,58.97,1.0,0.0,,,6.0,17,17
2.0,0.0,127.01,,,,,5.0,16,16
1.0,1.0,49.44,1.0,0.0,,,6.0,17,17
1.0,1.0,46.27,1.0,0.0,,,6.0,17,17
2.0,0.0,68.04,1.0,0.0,,,5.0,16,16
1.0,1.0,66.23,1.0,0.0,,,6.0,17,17
2.0,0.0,71.22,1.0,0.0,,,6.0,17,17
1.0,1.0,57.61,1.0,0.0,,,6.0,17,17
1.0,1.0,74.84,1.0,0.0,,,5.0,16,16
1.0,1.0,61.24,1.0,0.0,,,5.0,16,16
2.0,0.0,68.04,1.0,0.0,,,5.0,16,16
2.0,0.0,71.67,1.0,0.0,,,5.0,16,16
2.0,0.0,79.83,1.0,0.0,,,6.0,17,17
2.0,0.0,58.06,1.0,0.0,,,6.0,17,17
2.0,0.0,53.07,1.0,0.0,,,3.0,14,<=14
2.0,0.0,58.51,1.0,0.0,,,4.0,15,15
1.0,1.0,,1.0,0.0,,,4.0,15,15
2.0,0.0,65.77,1.0,0.0,,,3.0,14,<=14
2.0,0.0,,1.0,0.0,,,5.0,16,16
2.0,0.0,,1.0,0.0,,,4.0,15,15
2.0,0.0,52.16,1.0,0.0,,,5.0,16,16
1.0,1.0,61.24,1.0,0.0,,,5.0,16,16
2.0,0.0,90.72,1.0,0.0,,,5.0,16,16
1.0,1.0,73.94,1.0,0.0,,,4.0,15,15
2.0,0.0,61.24,1.0,0.0,,,4.0,15,15
1.0,1.0,86.18,,,,,6.0,17,17
2.0,0.0,58.97,1.0,0.0,,,5.0,16,16
2.0,0.0,54.89,1.0,0.0,,,6.0,17,17
1.0,1.0,79.38,,,,,5.0,16,16
2.0,0.0,,1.0,0.0,,,4.0,15,15
2.0,0.0,47.63,1.0,0.0,,,3.0,14,<=14
1.0,1.0,46.72,1.0,0.0,,,4.0,15,15
1.0,1.0,75.75,1.0,0.0,,,5.0,16,16
2.0,0.0,72.58,1.0,0.0,,,4.0,15,15
1.0,1.0,43.55,1.0,0.0,,,4.0,15,15
2.0,0.0,83.92,1.0,0.0,,,4.0,15,15
2.0,0.0,56.7,1.0,0.0,,,4.0,15,15
2.0,0.0,83.46,1.0,0.0,,,4.0,15,15
2.0,0.0,65.77,5.0,1.0,Moderate (6~19 days),5.0,3.0,14,<=14
2.0,0.0,68.95,1.0,0.0,,,4.0,15,15
2.0,0.0,48.08,2.0,1.0,Light (1~5 days),2.0,3.0,14,<=14
2.0,0.0,78.47,6.0,1.0,Frequent (20~30 days),6.0,5.0,16,16
1.0,1.0,59.88,1.0,0.0,,,4.0,15,15
